Fatores de Risco;Fontes Geradoras do Risco
Assédio de qualquer natureza no trabalho;"Cultura permissiva a desrespeito; ausência de canal de
 denúncia; liderança despreparada; comunicação violenta."
Falta de suporte/apoio no trabalho;"Liderança ausente; falta de escuta; cobrança sem
 acompanhamento; RH pouco atuante."
Má gestão de mudanças organizacionais;"Comunicação inadequada; mudanças abruptas; falta de 
planejamento; insegurança quanto à estabilidade."
Baixa clareza de papel/função;"Falta de definição de responsabilidades; ordens 
contraditórias; comunicação confusa; atribuições
 mal definidas."
Baixas recompensas e reconhecimento;"Ausência de feedback; foco exclusivo em metas; reconhecimento desigual; falta de plano de crescimento."
Baixo controle no trabalho / Falta de autonomia;"Microgestão; excesso de burocracia; centralização de 
decisões; baixa confiança na equipe."
Baixa justiça organizacional;"Critérios pouco transparentes; favorecimento; 
desigualdade de tratamento; decisões pouco claras."
Eventos violentos ou traumáticos;"Falta de protocolos de segurança; exposição a risco;
 ausência de treinamento; falta de suporte pós-evento."
Baixa demanda no trabalho (Subcarga);"Subutilização de competências; ociosidade; má distribuição de tarefas; funções pouco desafiadoras."
Excesso de demandas no trabalho (Sobrecarga);"Metas irrealistas; equipe insuficiente; jornadas prolongadas;  acúmulo de funções."
Maus relacionamentos no local de trabalho;"Comunicação agressiva; rivalidade interna; conflitos mal 
geridos; liderança despreparada."
Trabalho em condições de difícil comunicação;"Turnos desalinhados; distância física; falha nos meios de 
comunicação; fluxo de informação inadequado."
Trabalho remoto e isolado;"Isolamento social; falta de acompanhamento; comunicação  exclusivamente digital; baixa integração da equipe."
